variable,description
early_initiation_2012,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2012"
early_initiation_2013,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2013"
early_initiation_2014,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2014"
early_initiation_2015,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2015"
early_initiation_2016,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2016"
early_initiation_2017,"Early initiation of breastfeeding (within 1 hour after birth) (%), 2017"
exclusive_breastfeeding,Exclusive breastfeeding under 6 months (%)
exclusive_breastfeeding_1999,"Exclusive breastfeeding under 6 months (%), 1999"
exclusive_breastfeeding_2000,"Exclusive breastfeeding under 6 months (%), 2000"
exclusive_breastfeeding_2001,"Exclusive breastfeeding under 6 months (%), 2001"
exclusive_breastfeeding_2002,"Exclusive breastfeeding under 6 months (%), 2002"
exclusive_breastfeeding_2003,"Exclusive breastfeeding under 6 months (%), 2003"
exclusive_breastfeeding_2004,"Exclusive breastfeeding under 6 months (%), 2004"
exclusive_breastfeeding_2005,"Exclusive breastfeeding under 6 months (%), 2005"
exclusive_breastfeeding_2006,"Exclusive breastfeeding under 6 months (%), 2006"
exclusive_breastfeeding_2007,"Exclusive breastfeeding under 6 months (%), 2007"
exclusive_breastfeeding_2008,"Exclusive breastfeeding under 6 months (%), 2008"
exclusive_breastfeeding_2009,"Exclusive breastfeeding under 6 months (%), 2009"
exclusive_breastfeeding_2010,"Exclusive breastfeeding under 6 months (%), 2010"
exclusive_breastfeeding_2011,"Exclusive breastfeeding under 6 months (%), 2011"
exclusive_breastfeeding_2012,"Exclusive breastfeeding under 6 months (%), 2012"
exclusive_breastfeeding_2013,"Exclusive breastfeeding under 6 months (%), 2013"
exclusive_breastfeeding_2014,"Exclusive breastfeeding under 6 months (%), 2014"
exclusive_breastfeeding_2015,"Exclusive breastfeeding under 6 months (%), 2015"
exclusive_breastfeeding_2016,"Exclusive breastfeeding under 6 months (%), 2016"
exclusive_breastfeeding_2017,"Exclusive breastfeeding under 6 months (%), 2017"
minimum_accept_diet_2008,"Minimum acceptable diet (%), 2008"
minimum_accept_diet_2009,"Minimum acceptable diet (%), 2009"
minimum_accept_diet_2010,"Minimum acceptable diet (%), 2010"
minimum_accept_diet_2011,"Minimum acceptable diet (%), 2011"
minimum_accept_diet_2012,"Minimum acceptable diet (%), 2012"
minimum_accept_diet_2013,"Minimum acceptable diet (%), 2013"
minimum_accept_diet_2014,"Minimum acceptable diet (%), 2014"
minimum_accept_diet_2015,"Minimum acceptable diet (%), 2015"
minimum_accept_diet_2016,"Minimum acceptable diet (%), 2016"
minimum_diet_diversity_2005,"Minimum diet diversity (%), 2005"
minimum_diet_diversity_2006,"Minimum diet diversity (%), 2006"
minimum_diet_diversity_2007,"Minimum diet diversity (%), 2007"
minimum_diet_diversity_2008,"Minimum diet diversity (%), 2008"
minimum_diet_diversity_2009,"Minimum diet diversity (%), 2009"
minimum_diet_diversity_2010,"Minimum diet diversity (%), 2010"
minimum_diet_diversity_2011,"Minimum diet diversity (%), 2011"
minimum_diet_diversity_2012,"Minimum diet diversity (%), 2012"
minimum_diet_diversity_2013,"Minimum diet diversity (%), 2013"
minimum_diet_diversity_2014,"Minimum diet diversity (%), 2014"
minimum_diet_diversity_2015,"Minimum diet diversity (%), 2015"
minimum_diet_diversity_2016,"Minimum diet diversity (%), 2016"
minimum_meal_2006,"Minimum meal frequency (%), 2006"
minimum_meal_2008,"Minimum meal frequency (%), 2008"
minimum_meal_2009,"Minimum meal frequency (%), 2009"
minimum_meal_2010,"Minimum meal frequency (%), 2010"
minimum_meal_2011,"Minimum meal frequency (%), 2011"
minimum_meal_2012,"Minimum meal frequency (%), 2012"
minimum_meal_2013,"Minimum meal frequency (%), 2013"
minimum_meal_2014,"Minimum meal frequency (%), 2014"
minimum_meal_2015,"Minimum meal frequency (%), 2015"
minimum_meal_2016,"Minimum meal frequency (%), 2016"
solid_foods_1999,"Introduction of solid, semi-solid or soft foods (%), 1999"
solid_foods_2000,"Introduction of solid, semi-solid or soft foods (%), 2000"
solid_foods_2001,"Introduction of solid, semi-solid or soft foods (%), 2001"
solid_foods_2002,"Introduction of solid, semi-solid or soft foods (%), 2002"
solid_foods_2005,"Introduction of solid, semi-solid or soft foods (%), 2005"
solid_foods_2006,"Introduction to solids, semi-solid foods (%), 2006"
solid_foods_2007,"Introduction to solids, semi-solid foods (%), 2007"
solid_foods_2008,"Introduction to solids, semi-solid foods (%), 2008"
solid_foods_2009,"Introduction to solids, semi-solid foods (%), 2009"
solid_foods_2010,"Introduction to solids, semi-solid foods (%), 2010"
solid_foods_2011,"Introduction to solids, semi-solid foods (%), 2011"
solid_foods_2012,"Introduction to solids, semi-solid foods (%), 2012"
solid_foods_2013,"Introduction to solids, semi-solid foods (%), 2013"
solid_foods_2014,"Introduction to solids, semi-solid foods (%), 2014"
solid_foods_2015,"Introduction to solids, semi-solid foods (%), 2015"
solid_foods_2016,"Introduction to solids, semi-solid foods (%), 2016"
coexistence,"Coexistence of wasting, stunting and overweight (%)"
coexistence_2000,"Coexistence of wasting, stunting and overweight (%), 2000"
coexistence_2002,"Coexistence of wasting, stunting and overweight (%), 2002"
coexistence_2003,"Coexistence of wasting, stunting and overweight (%), 2003"
coexistence_2004,"Coexistence of wasting, stunting and overweight (%), 2004"
coexistence_2005,"Coexistence of wasting, stunting and overweight (%), 2005"
coexistence_2006,"Coexistence of wasting, stunting and overweight (%), 2006"
coexistence_2007,"Coexistence of wasting, stunting and overweight (%), 2007"
coexistence_2009,"Coexistence of wasting, stunting and overweight (%), 2009"
coexistence_2010,"Coexistence of wasting, stunting and overweight (%), 2010"
coexistence_2011,"Coexistence of wasting, stunting and overweight (%), 2011"
coexistence_2012,"Coexistence of wasting, stunting and overweight (%), 2012"
coexistence_2013,"Coexistence of wasting, stunting and overweight (%), 2013"
coexistence_2014,"Coexistence of wasting, stunting and overweight (%), 2014"
coexistence_2015,"Coexistence of wasting, stunting and overweight (%), 2015"
coexistence_2016,"Coexistence of wasting, stunting and overweight (%), 2016"
overweight_percent_1999,"Under-5 overweight (%), 1999"
overweight_percent_2000,"Under-5 overweight (%), 2000"
overweight_percent_2001,"Under-5 overweight (%), 2001"
overweight_percent_2002,"Under-5 overweight (%), 2002"
overweight_percent_2003,"Under-5 overweight (%), 2003"
overweight_percent_2004,"Under-5 overweight (%), 2004"
overweight_percent_2005,"Under-5 overweight (%), 2005"
overweight_percent_2006,"Under-5 overweight (%), 2006"
overweight_percent_2007,"Under-5 overweight (%), 2007"
overweight_percent_2008,"Under-5 overweight (%), 2008"
overweight_percent_2009,"Under-5 overweight (%), 2009"
overweight_percent_2010,"Under-5 overweight (%), 2010"
overweight_percent_2011,"Under-5 overweight (%), 2011"
overweight_percent_2012,"Under-5 overweight (%), 2012"
overweight_percent_2013,"Under-5 overweight (%), 2013"
overweight_percent_2014,"Under-5 overweight (%), 2014"
overweight_percent_2015,"Under-5 overweight (%), 2015"
overweight_percent_2016,"Under-5 overweight (%), 2016"
overweight_percent_2017,"Under-5 overweight (%), 2017"
stunting_percent_1999,"Under-5 stunting (%), 1999"
stunting_percent_2000,"Under-5 stunting (%), 2000"
stunting_percent_2001,"Under-5 stunting (%), 2001"
stunting_percent_2002,"Under-5 stunting (%), 2002"
stunting_percent_2003,"Under-5 stunting (%), 2003"
stunting_percent_2004,"Under-5 stunting (%), 2004"
stunting_percent_2005,"Under-5 stunting (%), 2005"
stunting_percent_2006,"Under-5 stunting (%), 2006"
stunting_percent_2007,"Under-5 stunting (%), 2007"
stunting_percent_2008,"Under-5 stunting (%), 2008"
stunting_percent_2009,"Under-5 stunting (%), 2009"
stunting_percent_2010,"Under-5 stunting (%), 2010"
stunting_percent_2011,"Under-5 stunting (%), 2011"
stunting_percent_2012,"Under-5 stunting (%), 2012"
stunting_percent_2013,"Under-5 stunting (%), 2013"
stunting_percent_2014,"Under-5 stunting (%), 2014"
stunting_percent_2015,"Under-5 stunting (%), 2015"
stunting_percent_2016,"Under-5 stunting (%), 2016"
stunting_percent_2017,"Under-5 stunting (%), 2017"
wasting_percent_1999,"Under-5 wasting (%), 1999"
wasting_percent_2000,"Under-5 wasting (%), 2000"
wasting_percent_2001,"Under-5 wasting (%), 2001"
wasting_percent_2002,"Under-5 wasting (%), 2002"
wasting_percent_2003,"Under-5 wasting (%), 2003"
wasting_percent_2004,"Under-5 wasting (%), 2004"
wasting_percent_2005,"Under-5 wasting (%), 2005"
wasting_percent_2006,"Under-5 wasting (%), 2006"
wasting_percent_2007,"Under-5 wasting (%), 2007"
wasting_percent_2008,"Under-5 wasting (%), 2008"
wasting_percent_2009,"Under-5 wasting (%), 2009"
wasting_percent_2010,"Under-5 wasting (%), 2010"
wasting_percent_2011,"Under-5 wasting (%), 2011"
wasting_percent_2012,"Under-5 wasting (%), 2012"
wasting_percent_2013,"Under-5 wasting (%), 2013"
wasting_percent_2014,"Under-5 wasting (%), 2014"
wasting_percent_2015,"Under-5 wasting (%), 2015"
wasting_percent_2016,"Under-5 wasting (%), 2016"
wasting_percent_2017,"Under-5 wasting (%), 2017"
adolescent_obesity_1999,"Adolescent obesity (15-19 years) (%), 1999"
adolescent_obesity_2000,"Adolescent obesity (15-19 years) (%), 2000"
adolescent_obesity_2001,"Adolescent obesity (15-19 years) (%), 2001"
adolescent_obesity_2002,"Adolescent obesity (15-19 years) (%), 2002"
adolescent_obesity_2003,"Adolescent obesity (15-19 years) (%), 2003"
adolescent_obesity_2004,"Adolescent obesity (15-19 years) (%), 2004"
adolescent_obesity_2005,"Adolescent obesity (15-19 years) (%), 2005"
adolescent_obesity_2006,"Adolescent obesity (15-19 years) (%), 2006"
adolescent_obesity_2007,"Adolescent obesity (15-19 years) (%), 2007"
adolescent_obesity_2008,"Adolescent obesity (15-19 years) (%), 2008"
adolescent_obesity_2009,"Adolescent obesity (15-19 years) (%), 2009"
adolescent_obesity_2010,"Adolescent obesity (15-19 years) (%), 2010"
adolescent_obesity_2011,"Adolescent obesity (15-19 years) (%), 2011"
adolescent_obesity_2012,"Adolescent obesity (15-19 years) (%), 2012"
adolescent_obesity_2013,"Adolescent obesity (15-19 years) (%), 2013"
adolescent_obesity_2014,"Adolescent obesity (15-19 years) (%), 2014"
adolescent_obesity_2015,"Adolescent obesity (15-19 years) (%), 2015"
adolescent_obesity_2016,"Adolescent obesity (15-19 years) (%), 2016"
adolescent_overweight_1999,"Adolescent overweight (15-19 years) (%), 1999"
adolescent_overweight_2000,"Adolescent overweight (15-19 years) (%), 2000"
adolescent_overweight_2001,"Adolescent overweight (15-19 years) (%), 2001"
adolescent_overweight_2002,"Adolescent overweight (15-19 years) (%), 2002"
adolescent_overweight_2003,"Adolescent overweight (15-19 years) (%), 2003"
adolescent_overweight_2004,"Adolescent overweight (15-19 years) (%), 2004"
adolescent_overweight_2005,"Adolescent overweight (15-19 years) (%), 2005"
adolescent_overweight_2006,"Adolescent overweight (15-19 years) (%), 2006"
adolescent_overweight_2007,"Adolescent overweight (15-19 years) (%), 2007"
adolescent_overweight_2008,"Adolescent overweight (15-19 years) (%), 2008"
adolescent_overweight_2009,"Adolescent overweight (15-19 years) (%), 2009"
adolescent_overweight_2010,"Adolescent overweight (15-19 years) (%), 2010"
adolescent_overweight_2011,"Adolescent overweight (15-19 years) (%), 2011"
adolescent_overweight_2012,"Adolescent overweight (15-19 years) (%), 2012"
adolescent_overweight_2013,"Adolescent overweight (15-19 years) (%), 2013"
adolescent_overweight_2014,"Adolescent overweight (15-19 years) (%), 2014"
adolescent_overweight_2015,"Adolescent overweight (15-19 years) (%), 2015"
adolescent_overweight_2016,"Adolescent overweight (15-19 years) (%), 2016"
adolescent_underweight_1999,"Adolescent underweight (15-19 years) (%), 1999"
adolescent_underweight_2000,"Adolescent underweight (15-19 years) (%), 2000"
adolescent_underweight_2001,"Adolescent underweight (15-19 years) (%), 2001"
adolescent_underweight_2002,"Adolescent underweight (15-19 years) (%), 2002"
adolescent_underweight_2003,"Adolescent underweight (15-19 years) (%), 2003"
adolescent_underweight_2004,"Adolescent underweight (15-19 years) (%), 2004"
adolescent_underweight_2005,"Adolescent underweight (15-19 years) (%), 2005"
adolescent_underweight_2006,"Adolescent underweight (15-19 years) (%), 2006"
adolescent_underweight_2007,"Adolescent underweight (15-19 years) (%), 2007"
adolescent_underweight_2008,"Adolescent underweight (15-19 years) (%), 2008"
adolescent_underweight_2009,"Adolescent underweight (15-19 years) (%), 2009"
adolescent_underweight_2010,"Adolescent underweight (15-19 years) (%), 2010"
adolescent_underweight_2011,"Adolescent underweight (15-19 years) (%), 2011"
adolescent_underweight_2012,"Adolescent underweight (15-19 years) (%), 2012"
adolescent_underweight_2013,"Adolescent underweight (15-19 years) (%), 2013"
adolescent_underweight_2014,"Adolescent underweight (15-19 years) (%), 2014"
adolescent_underweight_2015,"Adolescent underweight (15-19 years) (%), 2015"
adolescent_underweight_2016,"Adolescent underweight (15-19 years) (%), 2016"
Calcium_2016,"Estimated intake calcium (g/day), 2016"
Fruit_2016,"Estimated intake of fruits (g/day), 2016"
Legumes_2016,"Estimated intake of legumes (g/day), 2016"
Milk_2016,"Estimated intake of milk (g/day), 2016"
Nuts and seeds_2016,"Estimated intake of nuts and seeds (g/day), 2016"
Omega 3_2016,"Estimated intake of seafood omega-3 fatty acids (g/day), 2016"
Polyunsaturated fat_2016,"Estimated intake of polyunsaturated fatty acids (% of total daily energy), 2016"
Processed meat_2016,"Estimated intake of processed meat (g/day), 2016"
Red meat_2016,"Estimated intake of red meat (g/day), 2016"
Salt_2016,"Estimated intake of salt (g/day), 2016"
Saturated fat_2016,"Estimated intake of saturated fatty acids (% of total daily energy), 2016"
Sugar-sweetened beverages_2016,"Estimated intake of sugar-sweetened beverages (g/day), 2016"
Trans fat_2016,"Estimated intake of trans fatty acids (% of total daily energy), 2016"
Vegetables_2016,"Estimated intake of vegetables (g/day), 2016"
Whole grain_2016,"Estimated intake of whole grains (g/day), 2016"
190_percent_1999,"Poverty rates $1.90 a day (%), 1999"
190_percent_2005,"Poverty rates $1.90 a day (%), 2005"
190_percent_2010,"Poverty rates $1.90 a day (%), 2010"
190_percent_2015,"Poverty rates $1.90 a day (%), 2015"
320_percent_1999,"Poverty rates $3.20 a day (%), 1999"
320_percent_2005,"Poverty rates $3.20 a day (%), 2005"
320_percent_2010,"Poverty rates $3.20 a day (%), 2010"
320_percent_2015,"Poverty rates $3.20 a day (%), 2015"
65_years_2018,"Over-65 population (thousands), 2018"
GDP_capita_PPP_1999,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 1999"
GDP_capita_PPP_2000,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2000"
GDP_capita_PPP_2001,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2001"
GDP_capita_PPP_2002,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2002"
GDP_capita_PPP_2003,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2003"
GDP_capita_PPP_2004,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2004"
GDP_capita_PPP_2005,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2005"
GDP_capita_PPP_2006,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2006"
GDP_capita_PPP_2007,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2007"
GDP_capita_PPP_2008,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2008"
GDP_capita_PPP_2009,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2009"
GDP_capita_PPP_2010,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2010"
GDP_capita_PPP_2011,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2011"
GDP_capita_PPP_2012,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2012"
GDP_capita_PPP_2013,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2013"
GDP_capita_PPP_2014,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2014"
GDP_capita_PPP_2015,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2015"
GDP_capita_PPP_2016,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2016"
GDP_capita_PPP_2017,"Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2017"
gini_2003,"Income inequality (Gini Index), 2003"
gini_2004,"Income inequality (Gini Index), 2004"
gini_2005,"Income inequality (Gini Index), 2005"
gini_2006,"Income inequality (Gini Index), 2006"
gini_2007,"Income inequality (Gini Index), 2007"
gini_2008,"Income inequality (Gini Index), 2008"
gini_2009,"Income inequality (Gini Index), 2009"
gini_2010,"Income inequality (Gini Index), 2010"
gini_2011,"Income inequality (Gini Index), 2011"
gini_2012,"Income inequality (Gini Index), 2012"
gini_2013,"Income inequality (Gini Index), 2013"
gini_2014,"Income inequality (Gini Index), 2014"
gini_2015,"Income inequality (Gini Index), 2015"
gini_2016,"Income inequality (Gini Index), 2016"
gini_2017,"Income inequality (Gini Index), 2017"
gini_rank_2003,"Income inequality rank (Gini Index), 2003"
gini_rank_2004,"Income inequality rank (Gini Index), 2004"
gini_rank_2005,"Income inequality rank (Gini Index), 2005"
