iso3,country,region,subregion,GDP_capita_PPP_1999,GDP_capita_PPP_2000,GDP_capita_PPP_2001,GDP_capita_PPP_2002,GDP_capita_PPP_2003,GDP_capita_PPP_2004,GDP_capita_PPP_2005,GDP_capita_PPP_2006,GDP_capita_PPP_2007,GDP_capita_PPP_2008,GDP_capita_PPP_2009,GDP_capita_PPP_2010,GDP_capita_PPP_2011,GDP_capita_PPP_2012,GDP_capita_PPP_2013,GDP_capita_PPP_2014,GDP_capita_PPP_2015,GDP_capita_PPP_2016,GDP_capita_PPP_2017,population_2017,u5mr_1999,u5mr_2000,u5mr_2001,u5mr_2002,u5mr_2003,u5mr_2004,u5mr_2005,u5mr_2006,u5mr_2007,u5mr_2008,u5mr_2009,u5mr_2010,u5mr_2011,u5mr_2012,u5mr_2013,u5mr_2014,u5mr_2015,u5mr_2016,u5mr_2017,basic_sanitation_2015,basic_water_2015,Fruit_2016,Vegetables_2016,Whole grain_2016,Calcium_2016,Processed meat_2016,Red meat_2016,Salt_2016,Saturated fat_2016,Sugar_sweetened_beverages_2016,Trans fat_2016,child_overweight_plan,fbdg,overweight_adults_adoles_plan,sugar_tax,sodium_plan,wasting_plan,country_class,gender_inequality_score_2017,gender_inequality_rank_2017,female_secondary_enroll_net_1999,female_secondary_enroll_net_2000,female_secondary_enroll_net_2001,female_secondary_enroll_net_2002,female_secondary_enroll_net_2003,female_secondary_enroll_net_2004,female_secondary_enroll_net_2005,female_secondary_enroll_net_2006,female_secondary_enroll_net_2007,female_secondary_enroll_net_2008,female_secondary_enroll_net_2009,female_secondary_enroll_net_2010,female_secondary_enroll_net_2011,female_secondary_enroll_net_2012,female_secondary_enroll_net_2013,female_secondary_enroll_net_2014,female_secondary_enroll_net_2015,female_secondary_enroll_net_2016,adult_fem_diabetes_track,adult_fem_obesity_track,adult_mal_diabetes_track,adult_mal_obesity_track,fruit_veg_availability_1999,fruit_veg_availability_2000,fruit_veg_availability_2001,fruit_veg_availability_2002,fruit_veg_availability_2003,fruit_veg_availability_2004,fruit_veg_availability_2005,fruit_veg_availability_2006,fruit_veg_availability_2007,fruit_veg_availability_2008,fruit_veg_availability_2009,fruit_veg_availability_2010,fruit_veg_availability_2011,fruit_veg_availability_2012,fruit_veg_availability_2013
AZE,Azerbaijan,Asia,Western Asia,4046.61,4459,4862.62,5338.08,5891.14,6435.45,8051.67,10711.18,13243.21,14364.99,15393.89,15950.26,15754.15,15888.22,16593.19,16715.11,16698.86,16001.32,15847.42,9827.59,79.8,74.7,69.5,64.5,59.9,55.7,52,48.7,45.6,42.7,40,37.4,35,32.6,30.4,28.4,26.4,24.6,23,89.35,12.86,105.34,337.72,19.72,0.59,2.65,19.26,4.78,0.07,87.20,0.01,No,No,Yes,No,Yes,No,experiencing two forms of malnutrition,0.32,71.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,421.50,431.49,490.40,528.01,565.64,538.53,616.58,637.68,642.19,616.68,620.36,652.76,674.41,679.85,661.26
BDI,Burundi,Africa,Eastern Africa,775.36,754.1,751.39,763.18,730.9,741.77,724.16,738.09,747.68,759.34,760.06,763.83,771.51,778.74,790.71,803.17,748.42,721.18,702.23,10864.25,162.1,156.7,151,145.1,139,132.5,125.4,118,110.6,103.4,96.7,90.6,85.1,79.9,75.2,70.8,67.1,63.9,61.2,50.46,55.93,33.72,36.94,25.23,0.22,0.34,5.62,2.59,0.05,96.97,0.00,No,No,No,No,No,Yes,experiencing two forms of malnutrition,0.47,112.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,11.89,13.70,15.43,17.40,21.01,26.20,30.09,34.08,No progress or worsening,No data,No progress or worsening,No progress or worsening,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
BEL,Belgium,Europe,Western Europe,35971.85,37188.64,37361.72,37856.86,37990.71,39201.53,39802.97,40532.27,41623.44,41619.34,40355.57,41085.92,41248.73,41046.48,40928.14,41360.4,41708.21,42083.64,42658.58,11429.34,6.1,5.9,5.7,5.5,5.3,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,2.39,1.63,105.49,208.68,32.68,0.84,7.14,49.82,3.53,0.10,106.46,0.00,Yes,Yes,Yes,Yes,No,No,No data,0.05,5.00,94.74,94.34,95.29,95.61,96.87,98.10,98.23,98.36,96.84,95.15,93.96,93.18,93.02,93.51,94.10,94.22,94.08,No data,On course,No progress or worsening,On course,No progress or worsening,No data,526.65,509.26,537.04,556.22,579.64,533.03,574.76,584.08,601.62,566.92,514.26,517.72,525.97,569.27
BEN,Benin,Africa,Western Africa,1621.9,1666.47,1703.02,1728.7,1734.7,1757.9,1735.97,1752.96,1805.62,1841.19,1831.88,1818.78,1820.89,1855.95,1934.65,2001.08,1987.14,2009.62,2064.24,11175.69,146.6,143.2,139.5,135.5,131.4,127.5,123.9,121,118.6,116.7,115,113.6,112.2,110.5,108.5,106.2,103.7,101,98.3,13.93,67.02,60.37,79.37,24.67,0.26,0.75,4.77,2.70,0.05,75.78,0.00,Yes,Yes,Yes,No,No,Yes,experiencing three forms of malnutrition,0.61,144.00,No data,11.14,12.33,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,35.61,No data,39.81,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,240.63,204.27,192.10,209.74,216.27,204.15,218.79,201.10,198.94,208.70,215.44,222.91,205.37,290.89,292.95
BFA,Burkina Faso,Africa,Western Africa,1086.62,1075.4,1114.2,1129.74,1183.09,1200.42,1266.36,1305.92,1338.84,1393.7,1392.2,1423.38,1472.72,1521.45,1562.3,1582.33,1596.33,1642.32,1703.1,19193.38,184.1,180.4,176.5,172.2,167.1,161.1,154.1,146.5,138.6,130.8,123.3,116.1,109.4,103.2,97.5,92.6,88.4,84.5,81.2,22.53,53.86,9.95,43.29,17.45,0.27,0.75,12.05,2.70,0.06,69.68,0.00,Yes,No,Yes,No,No,Yes,experiencing two forms of malnutrition,0.61,143.00,6.44,No data,6.33,No data,7.68,8.56,9.42,10.15,10.82,12.51,13.45,14.39,16.39,17.89,20.16,No data,25.92,28.00,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,103.06,102.39,96.86,99.19,98.20,101.81,98.54,95.76,58.32,61.74,59.75,65.82,62.81,61.85,63.74
BGD,Bangladesh,Asia,Southern Asia,1590.25,1641.96,1692.83,1725.63,1775.98,1838.76,1929.94,2031.27,2148.47,2252.17,2339.87,2442.73,2570.85,2706.59,2835.77,2973.04,3132.57,3319.35,3523.98,164669.75,92.4,87.4,82.8,78.4,74.1,70.1,66.2,62.5,58.9,55.6,52.3,49.2,46.3,43.6,41,38.6,36.4,34.3,32.4,46.92,41.65,34.45,48.36,23.10,0.18,0.75,2.45,5.24,0.04,79.33,0.01,Yes,Yes,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.54,132.00,43.23,45.42,47.84,49.40,49.30,44.41,43.93,44.43,45.18,No data,46.77,48.86,49.25,51.45,54.72,No data,61.03,66.62,No progress or worsening,No data,No progress or worsening,No progress or worsening,62.41,62.05,62.68,63.76,70.74,80.51,99.43,108.62,120.56,136.17,138.53,141.02,135.82,136.82,138.83
BGR,Bulgaria,Europe,Eastern Europe,8376.1,8833.45,9350.79,10123.37,10730.01,11507.05,12419.93,13374.92,14463.18,15442.15,14984.61,15283.29,15676.15,15772.1,15997.36,16302.32,17000.18,17794.54,18563.31,7084.57,18.3,17.6,16.8,15.9,15.1,14.2,13.3,12.5,11.9,11.5,11.1,10.7,10.3,9.8,9.3,8.8,8.3,7.9,7.5,37.13,2.70,71.12,369.37,19.67,0.65,5.07,55.84,4.61,0.08,95.15,0.00,Yes,Yes,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.22,46.00,84.79,85.63,86.51,86.78,84.01,84.82,84.94,84.17,84.25,83.22,82.41,82.92,84.87,85.96,88.83,89.78,89.96,89.06,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,550.12,529.96,455.47,405.80,470.45,408.88,263.68,344.42,342.70,307.21,304.75,309.40,323.69,328.84,377.53
BHR,Bahrain,Asia,Western Asia,44562.34,44942.37,43887.07,43147.5,43187.5,43355.31,43201.81,42673.08,42755.43,42218.15,40717.18,40570.54,40164.58,40960.33,42680.2,43837.34,43926.47,43642.97,43290.7,1492.58,13.1,12.5,12,11.6,11.3,11,10.7,10.3,9.8,9.3,8.9,8.5,8.2,8,7.8,7.7,7.6,7.5,7.3,100.00,1.26,170.31,341.55,31.41,0.65,2.00,19.64,4.24,0.07,102.63,0.00,Yes,No,Yes,Yes,Yes,No,No data,0.22,47.00,87.70,90.55,92.21,91.24,91.33,91.97,93.01,93.11,No data,88.58,87.69,87.09,87.10,85.49,86.98,89.16,91.37,93.89,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
BHS,Bahamas,Latin America and the Caribbean,Caribbean,32142.34,32990.76,33271.18,33505.41,32391.31,31990.35,32401.14,32565.71,32409.69,31080.16,29263.8,29221.99,28941.03,29395.62,28871.36,28456.82,28407.13,27613.52,27717.85,395.36,16.2,16,15.9,15.8,15.7,15.5,15.2,14.7,14.1,13.3,12.5,11.7,10.8,10,9.3,8.6,8,7.6,7.2,92.01,97.79,276.98,173.19,83.70,0.51,2.10,36.13,3.08,0.11,180.77,0.00,No data,Yes,No data,No,No data,No data,No data,0.34,74.00,70.45,No data,No data,No data,No data,80.12,83.19,85.54,89.34,87.81,85.91,85.69,No data,No data,No data,No data,No data,85.62,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,1032.30,1174.64,1082.36,964.98,894.07,1160.23,1166.50,982.16,894.51,946.46,912.10,1000.65,987.94,1137.09,1112.66
BIH,Bosnia and Herzegovina,Europe,Southern Europe,6007.29,6324.92,6595.21,6936.43,7207.32,7642.84,8311.69,8763.51,9278.97,9824.11,9573.74,9720.34,9901.61,9929.71,10284.78,10516.79,10932.46,11337.57,11713.89,3507.02,10.3,9.9,9.5,9.3,9.2,9,8.9,8.6,8.3,7.9,7.5,7.2,6.8,6.6,6.4,6.2,6,5.9,5.7,71.70,9.08,100.01,321.86,20.95,0.74,3.73,15.17,4.63,0.06,86.44,0.00,Yes,Yes,No,No,No,Yes,experiencing two forms of malnutrition,0.17,37.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,553.53,426.27,458.42,509.19,631.88,819.79,814.65,778.95,759.50,788.83,802.06,766.63,764.26,734.06,840.68
BLR,Belarus,Europe,Eastern Europe,7114.68,7562.88,7960.99,8416.04,9072.07,10180,11213.25,12410.33,13539.6,14972.27,15035.7,16235.17,17166.7,17479.93,17656.12,17944.21,17229.56,16773.19,17167.97,9468.34,13.7,12.8,11.8,10.9,10,9.3,8.5,7.9,7.2,6.6,6,5.5,5.1,4.8,4.5,4.3,4.1,3.9,3.7,18.02,3.58,86.50,256.86,19.69,0.77,4.99,48.13,3.99,0.08,95.56,0.00,Yes,No,Yes,No,Yes,No,experiencing two forms of malnutrition,0.13,31.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,94.48,94.86,95.91,97.31,97.71,98.58,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,317.42,331.41,367.90,436.56,438.00,472.98,502.62,562.84,572.92,588.51,595.36,604.23,568.68,605.26,609.72
BLZ,Belize,Latin America and the Caribbean,Central America,6371.32,6960.68,7089.95,7247.58,7719.67,7875.05,7873.14,8022.39,7902.77,7951.2,7809.85,7876.81,7857.25,7974.03,7856.38,7999.57,8127.66,7919.15,7824.36,374.68,24.6,23.7,22.9,22.2,21.7,21.3,20.9,20.6,20.3,19.9,19.5,19,18.4,17.8,17.1,16.4,15.6,14.9,14.2,87.16,97.13,112.07,91.83,97.27,0.42,0.89,15.68,3.09,0.08,189.79,0.00,Yes,Yes,Yes,No,No,Yes,experiencing two forms of malnutrition,0.39,88.00,57.17,60.15,61.90,No data,69.35,No data,66.36,66.96,66.47,66.06,66.31,66.28,67.64,68.84,71.10,71.33,71.07,73.72,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,809.29,823.68,881.65,821.58,857.18,724.79,801.72,795.34,835.94,906.27,774.14,815.27,675.05,689.71,586.97
BOL,Bolivia,Latin America and the Caribbean,South America,4386.79,4412.26,4403.72,4431.31,4470.31,4575.17,4694.92,4836.43,4972.5,5191.13,5278.04,5407.47,5598.51,5792.93,6090.7,6324.83,6531.52,6707.96,6885.83,11051.6,83.9,79.6,75.5,71.6,67.7,64.1,60.6,57.2,54.1,51.1,48.4,46,44,42.2,40.5,39,37.5,36.1,34.9,33.60,92.88,105.44,70.87,105.00,0.25,0.84,28.48,3.82,0.08,95.39,0.01,Yes,Yes,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.45,101.00,No data,58.86,61.97,66.67,69.50,71.98,73.11,72.99,72.91,72.36,73.38,73.40,73.18,74.58,76.24,76.99,77.79,78.11,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,409.58,417.66,415.87,408.32,363.69,324.26,320.79,277.46,276.13,272.54,284.62,286.23,282.09,284.81,276.42
BRA,Brazil,Latin America and the Caribbean,South America,11081.65,11370.97,11368.47,11559.56,11541.98,12058.21,12298.59,12643.57,13268.41,13802.82,13649.87,14537.57,14973.1,15119.91,15432.89,15374.26,14702.59,14077.12,14103.45,209288.28,37,34.7,32.5,30.5,28.5,26.6,24.9,23.3,21.9,20.7,19.6,18.7,17.9,17.3,16.7,16.2,15.7,16.3,14.8,47.50,97.50,158.76,99.76,104.93,0.59,2.43,57.05,3.81,0.08,184.83,0.00,Yes,Yes,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.41,93.00,No data,No data,No data,No data,No data,No data,No data,No data,77.48,No data,82.73,No data,81.37,81.50,84.57,85.35,83.09,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,433.14,402.98,336.44,426.79,399.48,408.58,391.95,426.39,426.45,443.37,462.19,500.56,528.96,435.96,396.49
BRB,Barbados,Latin America and the Caribbean,Caribbean,15172.07,15467.82,15049.86,15125.94,15414.42,15582.55,16151.56,17008.26,17244.75,17189.23,16433.46,16417.96,16472.08,16463.76,16409.92,16359.19,16458.1,16741.38,16978.07,285.72,14.9,15.2,15.4,15.6,15.8,15.8,15.7,15.5,15.3,15,14.8,14.5,14.2,14,13.7,13.4,13.1,12.8,12.4,96.46,98.13,130.25,117.00,88.34,0.50,1.79,20.36,3.08,0.10,187.14,0.00,Yes,Yes,No,Yes,Yes,No,experiencing two forms of malnutrition,0.28,60.00,94.94,91.27,85.15,87.19,89.19,95.15,92.03,91.76,93.76,88.95,84.95,85.18,91.57,No data,No data,100.00,No data,99.60,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,477.67,409.70,481.93,519.28,553.50,450.83,537.13,540.10,573.94,558.44,557.14,545.13,523.12,476.19,458.43
BRN,Brunei Darussalam,Asia,South-eastern Asia,81476.15,82049.58,82596.78,84125.44,84970.74,83942.22,82967.11,85424.56,84503.54,81905.66,79512.76,80552.86,82434.88,81993.93,79070.25,76089.29,74600.16,71788.78,71809.25,428.7,11.8,11.8,11.8,11.7,11.7,11.6,11.5,11.3,11.1,10.9,10.7,10.6,10.5,10.5,10.5,10.5,10.5,10.5,10.5,96.33,99.51,109.63,116.35,22.64,0.55,7.43,17.10,5.50,0.09,33.37,0.00,Yes,No,Yes,Yes,Yes,No,experiencing one form of malnutrition,0.24,51.00,No data,No data,No data,No data,No data,No data,87.98,89.89,88.62,88.42,89.89,90.68,90.95,93.28,91.86,87.43,85.72,84.29,On course,No progress or worsening,No progress or worsening,No progress or worsening,400.61,397.75,473.91,502.23,523.26,469.23,494.04,399.11,382.56,412.49,429.05,423.66,348.35,381.42,456.87
BTN,Bhutan,Asia,Southern Asia,3403.55,3538.77,3723.98,4009.25,4198.59,4329.16,4521.99,4719.67,5446.36,5592.16,5851.68,6419.68,6805.88,7032.75,7070.79,7366.42,7743.34,8253.29,8708.6,807.61,82.1,77.7,73.5,69.4,65.3,61.5,57.8,54.4,51.1,48.1,45.1,42.5,40.1,38.1,36.4,34.8,33.4,32,30.8,62.87,63.40,74.51,118.79,21.09,0.36,1.32,7.51,5.22,0.05,98.23,0.01,No,No,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.48,115.00,19.05,21.32,23.52,No data,No data,No data,33.94,37.07,No data,44.16,47.50,52.54,54.93,58.53,61.56,64.95,66.91,68.31,No progress or worsening,No data,No progress or worsening,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
